"NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","START_DEPTH_M","END_DEPTH_M","TEMPERATURE_C","VISIBILITY_M"
"KEEN ONE","Byrnes",2014,7,19,"SW Appledore","S. Pepperrell",42.985265991,-70.619861037,42.98562197,-70.619732961,10.3,8.3,11,2
"KEEN ONE","Byrnes",2014,7,19,"SW Appledore","N. Pepperrell",42.986057997,-70.619525006,42.985724984,-70.619615028,9.2,8.7,11,3
"KEEN ONE","Byrnes",2015,7,7,"Baker North","1",42.53807,-70.78659,42.53804,-70.78699,7.1,8.2,15,8
"KEEN ONE","Byrnes",2015,7,7,"Baker North","2",42.53787,-70.78437,42.53786,-70.78397,11,11.8,11,6
"KEEN ONE","Byrnes",2015,7,9,"Baker North","3",42.53677,-70.78341,42.536626,-70.78293,7,5.5,10.6,4
"KEEN ONE","Byrnes",2015,7,10,"Baker North","4",42.53502,-70.78151,42.53532,-70.78177,5.7,7.3,17,5
"KEEN ONE","Byrnes",2015,7,9,"Baker South","1",42.53247,-70.78275,42.53217,-70.78307,6.3,5.5,13,7
"KEEN ONE","Byrnes",2015,7,9,"Baker South","2",42.53135,-70.78362,42.53093,-70.78413,6.1,7.5,13,6
"KEEN ONE","Byrnes",2015,7,10,"Baker South","3",42.5318388082087,-70.784320263192,42.532164780423,-70.7841222826391,9.3,8,12.5,3.5
"KEEN ONE","Byrnes",2015,7,10,"Baker South","4",42.535017,-70.781513,42.535326,-70.781769,6.9,6,13,5.5
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","1",42.3452899977564,-70.8930599503219,42.34499,-70.893344,6.9,7.3,18,2
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","2",42.3442627117037,-70.8932904526591,42.344464296475,-70.8935313485562,8,10.2,15,2
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","3",42.3424299247562,-70.8929499797523,42.342418,-70.892454,7,7.5,16,3
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","4",42.3405299987643,-70.8936199452728,42.340174,-70.893581,8.1,9.5,18,2
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1",42.3272208776325,-70.8915652055293,42.3268872778862,-70.8912301808595,6.7,10,16,2
"KEEN ONE","Byrnes",2015,7,14,"Little Brewster","2",42.3270465340465,-70.8908638916909,42.326910579577,-70.8903581276536,5.8,6.1,18.9,2
"KEEN ONE","Byrnes",2015,7,14,"Little Brewster","3",42.3273499589413,-70.8897599950432,42.327456,-70.889281,8.7,7.2,18.3,2
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4",42.3278042580932,-70.8887399174273,42.3275044374167,-70.8890097308904,6.1,5.5,17,3
"KEEN ONE","Byrnes",2015,12,8,"NE Appledore","Broadway and 42nd",42.992189945653,-70.6110799871385,42.9924565739929,-70.6112782191485,8.7,8,13,7
"KEEN ONE","Byrnes",2015,13,8,"NE Appledore","Broad Cove",42.9898099880665,-70.6109499838203,42.9897059686481,-70.6105509214103,7.7,8.7,12.5,8
"KEEN ONE","Byrnes",2015,13,8,"NE Appledore","Devil's Dance Floor",42.9927154071629,-70.6134819891303,42.9926432389766,-70.6130809988826,8.5,8,15,7
"KEEN ONE","Byrnes",2015,12,8,"NE Appledore","Norwegian Cove",42.9903699830174,-70.6108799949288,42.9908521100878,-70.6109935697168,10.2,8,NA,4
"KEEN ONE","Byrnes",2015,8,12,"NW Appledore","Sandpiper Beach",42.9902022611349,-70.618576426059,42.9899411648511,-70.6189008895307,9.1,5.5,15,7
"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head",42.9929039161652,-70.6156041193753,42.9926791135221,-70.6161299161613,10.1,9.4,14,4
"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Magic 8 Ball",42.991222590208,-70.6181925348937,42.9910713806748,-70.6186123844236,8.5,10,15.6,5
"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Larus Ledge",42.9908399563282,-70.6183599215,42.9907669499516,-70.6185852270573,10.3,8.9,15.6,2
"KEEN ONE","Byrnes",2015,8,13,"SW Appledore","North Smith's Cove",42.9850580357015,-70.6188271287828,42.9849,-70.618378,4.5,4,16,8
"KEEN ONE","Byrnes",2015,8,13,"SW Appledore","South Smith's Cove",42.9842899180948,-70.618179962039,42.984621,-70.618363,6.8,7.1,NA,7
"KEEN ONE","Byrnes",2015,8,11,"SW Appledore","North Pepperrell",42.9859418235719,-70.6199330370873,42.9857431724667,-70.6201360467821,10.4,11.3,12.8,6
"KEEN ONE","Byrnes",2015,8,12,"SW Appledore","South Pepperrell",NA,NA,NA,NA,7.6,4.9,15.6,7
"KEEN ONE","Byrnes",2016,8,2,"Baker North","1",42.53749,-70.78549,42.53736,-70.78511,8.2,8.8,16.7,3
"KEEN ONE","Byrnes",2016,8,2,"Baker North","2",42.53773,-70.78626,42.537587,-70.78649,5.7,6.8,23,3
"KEEN ONE","Byrnes",2016,8,4,"Baker North","3",42.53625,-70.78327,42.536031,-70.782846,6.7,6.4,NA,2
"KEEN ONE","Byrnes",2016,8,4,"Baker North","4",42.53563,-70.78035,42.53527,-70.780238,7.2,7.2,19,2
"KEEN ONE","Byrnes",2016,8,3,"Baker South","1",42.533568,-70.78228,42.53323,-70.782531,7.2,8,20,3
"KEEN ONE","Byrnes",2016,8,3,"Baker South","2",42.532335,-70.783988,42.532475,-70.78354,7.5,7.7,20,3
"KEEN ONE","Byrnes",2016,8,3,"Baker South","3",42.531227,-70.78535,42.531526,-70.785088,7.8,7,21,3.5
"KEEN ONE","Byrnes",2016,8,3,"Baker South","4",42.530752,-70.786561,42.53083,-70.786088,7.2,8.1,NA,1
"KEEN ONE","Byrnes",2016,8,30,"Calf Island","1",42.345715,-70.89132,42.345371,-70.891498,6.4,10.4,13,1.5
"KEEN ONE","Byrnes",2016,8,29,"Calf Island","2",42.343802,-70.8912,42.344108,-70.890999,7.6,6.3,15,2
"KEEN ONE","Byrnes",2016,8,25,"Calf Island","3",42.342275,-70.891011,42.341938,-70.891144,6,5,16.1,3
"KEEN ONE","Byrnes",2016,9,1,"Calf Island","4",42.340155,-70.89377,42.340522,-70.89386,8.5,9.5,14,1.5
"KEEN ONE","Byrnes",2016,8,25,"Little Brewster","1",42.328099,-70.888049,42.327809,-70.888319,6.4,4.3,16.7,3
"KEEN ONE","Byrnes",2016,8,29,"Little Brewster","2",42.3269,-70.888444,42.326753,-70.888858,10,10,13,2
"KEEN ONE","Byrnes",2016,8,30,"Little Brewster","3",42.326938,-70.890339,42.326997,-70.889856,7.9,7.2,16,2
"KEEN ONE","Byrnes",2016,9,1,"Little Brewster","4",42.327162,-70.891487,42.327149,-70.891004,5.9,6.1,16,3
"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Broadway and 42nd",42.99184,-70.61057,42.99201,-70.61097,5.9,6.8,15,4
"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Devil's Dance Floor",42.9976,-70.61309,42.99288,-70.61361,10,9.5,16,1.5
"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Norwegian Cove",42.9906,-70.6115,42.9909,-70.6112,8.5,8.5,17,6
"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Broad Cove",42.9898,-70.6108,42.98962,-70.61039,3,8.2,18.6,6
"KEEN ONE","Byrnes",2016,8,8,"NW Appledore","Larus Ledge",42.99121,-70.61816,42.99086,-70.6184,6.7,7.6,15,3
"KEEN ONE","Byrnes",2016,8,11,"NW Appledore","North Head",42.9931,-70.61526,42.99285,-70.61564,9.1,8.8,15,1
"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Magic 8 Ball",42.99109,-70.61833,42.99122,-70.61819,7.4,8,12,3
"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Smith's Cove",42.98505,-70.61876,42.984899,-70.618306,6.4,6.5,18,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Smith's Cove",42.9845,-70.61809,42.98429,-70.61777,5.5,6.5,17.8,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Pepperrell",42.98606,-70.61996,42.98543,-70.61961,9.3,8,15.5,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Pepperrell",42.98566,-70.61964,42.98521,-70.61927,5.5,4.6,16,3
"KEEN ONE","Grabowski",2015,8,4,"Canoe Beach","1",42.42101,-70.90135,42.42135,-70.90569,7.3,10,11,2.5
"KEEN ONE","Grabowski",2015,8,27,"Canoe Beach","2",42.42038,-70.90422,42.42042,-70.90382,6.09,5.49,21,3
"KEEN ONE","Grabowski",2015,8,7,"Pumphouse Beach","1",42.41629,-70.90759,42.4164,-70.90802,5.49,4.88,13.89,2
"KEEN ONE","Grabowski",2015,8,7,"Pumphouse Beach","2",42.4162,-70.90679,42.41632,-70.90636,4.57,1.83,12.78,2
"KEEN ONE","Grabowski",2016,8,16,"Canoe Beach","1",42.42065,-70.90685,42.42047,-70.90644,6.71,5.18,16.1,3
"KEEN ONE","Grabowski",2016,8,16,"Canoe Beach","2",42.42117,-70.90617,42.42115,-70.90666,7.42,7.01,16.1,3
"KEEN ONE","Grabowski",2016,7,12,"Pemaquid","1",43.83558,-69.50793,43.83561,-69.50836,3.96,7.32,11.66,5
"KEEN ONE","Grabowski",2016,7,12,"Pemaquid","2",43.83588,-69.50784,43.83894,-69.50835,5.49,8.53,11.66,5
"KEEN ONE","Humphries",2016,8,23,"Fort Weatherill","1",41.4772145407588,-71.3664210546525,NA,NA,6,8,21.1111111111111,2
"KEEN ONE","Humphries",2016,8,23,"Fort Weatherill","2",41.4769146682058,-71.3635710156022,NA,NA,9,6,21.1111111111111,2
"KEEN ONE","Humphries",2016,8,24,"Fort Weatherill","3",41.4781297326476,-71.3617350539949,NA,NA,9,8,20,1.5
"KEEN ONE","Humphries",2016,8,24,"Fort Weatherill","4",41.4774668826876,-71.3594229621577,NA,NA,7,8,18.8888888888889,2
