DATE,YEAR,MONTH,DAY,SITE,TRANSECT,DISTANCE (m),SIDE,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY,SP_CODE_0,SP_CODE_1,SP_CODE_3,SP_CODE_4,SP_CODE_5
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,1,Inshore,S,"Jenn, Kristen, Amber",NA,Kristen,NA,CHCR,UV,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,2,Inshore,S,"Jenn, Kristen, Amber",NA,Kristen,NA,CYPU,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,2,Offshore,S,"Jenn, Kristen, Amber",NA,Kristen,NA,CHCR,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,3,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,CYPU,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,3,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,DEVI,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,4,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,SL,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,4,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,SL,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,5,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,HJ,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,5,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,PORO,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,6,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,AHPL,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,6,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,HJ,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,7,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,AGCL,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,7,Offshore,R/S,"Jenn, Kristen, Amber",NA,Kristen,NA,CHCR,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,8,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,HJ,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,8,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,UV,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,9,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,CHCR,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,9,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,CF,HJ,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,10,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,HJ,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,10,Offshore,S,"Jenn, Kristen, Amber",NA,Kristen,NA,SL,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,11,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,HJ,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,11,Offshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,SL,,,,
2015-08-14T00:00:00Z,2015,8,14,Nubble Lighthouse,1,12,Inshore,R,"Jenn, Kristen, Amber",NA,Kristen,NA,HJ,,,,
